category,species_taxid,num_taxa,num_genes,Species,Family,Order,Class,Phylum,Gram_stain,Host_or_free,Obligate_facultative,Host_range_taxonomic,Host_range_name,Host_range_b_or_n,Host_primary_location,Host_secondary_location,Host_inside_outside,Intra_or_extracellular,Host_type,Effect_on_host,Primary_environment,Secondary_environment,Category_primary_env,Motility,Spore,Plant,Mammal,Soil,Freshwater,Marine_water,Fish,Amphibians,Bird,Insects,Reptiles,Sponges,Protozoa,Nematodes,Sand,Sediment,Algae,Molluscs,Crustacean,Total_envs,pangenome_fluidity,fluidity_calc,openness,Per_core_100,accessory_100,core_100,percentage_core_100,pan_size,accessory_90,core_90,percentage_core_90,accessory_80,core_80,percentage_core_80,percentage_accessory_20,percentage_accessory_10,Ne
Moderate,548,45,8268,klebsiella_aerogenes,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Class,Mammalia,Broad,Gut,,Inside,Extracellular,Animal,Both,Gut,Soil Water,Host,Motile,No,,1.0,1.0,1.0,,,,,,,,,,,,,,,3.0,0.159643276,0.1910595,0.3245748,0.814521382,3607.0,4058.0,0.529419439,7665.0,3338.0,4327.0,0.564514025,3235.0,4430.0,0.577951729,0.309458578,0.223091977,
Moderate,571,103,20339,klebsiella_oxytoca,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Root Stem,Inside,Extracellular,Both,Both,Gut,Soil Water,Host,Non-motile,No,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,4.0,0.305504596,0.2273193,0.5286175,0.675561891,7946.0,4082.0,0.339374792,12028.0,7712.0,4316.0,0.358829398,7552.0,4476.0,0.372131693,0.439225141,0.278350515,317705771.7
Moderate,573,121,2302,klebsiella_pneumoniae,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Root Stem,Inside,Extracellular,Both,Both,Soil,Gut Plant,Free,Non-motile,No,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,4.0,0.231371884,0.2162612,0.5102561,0.36799299,18882.0,1986.0,0.095169638,20868.0,16544.0,4324.0,0.207207207,16437.0,4431.0,0.212334675,0.723979298,0.663839371,354544037.4
Open,1584,35,7065,lactobacillus_delbrueckii,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Plant,Milk Gut,Both,Extracellular,Both,Mutualist,Milk,Plant Gut,Host,Non-motile,No,1.0,1.0,,,,,,1.0,,,,,,,,,,,3.0,0.275834863,0.2629948,0.8342262,0.516193024,2044.0,864.0,0.297111417,2908.0,1756.0,1152.0,0.396148556,1641.0,1267.0,0.435694635,0.353163686,0.29264099,189429515.5
Open,1587,8,13251,lactobacillus_helveticus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Gut,Milk Plant,Both,Extracellular,Both,Mutualist,Gut,Plant Milk,Host,Non-motile,No,1.0,,,,,,,1.0,,,,,,,,,,,2.0,0.291840313,0.2741021,1.04876,0.603920429,2157.0,1004.0,0.317621006,3161.0,1985.0,1176.0,0.372034166,1915.0,1246.0,0.394179057,0.382790256,0.276178425,179783724.2
Open,1358,20,4353,lactococcus_lactis,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Milk,Plant,Both,Extracellular,Both,Both,Milk,Plant,Host,Non-motile,No,1.0,1.0,1.0,,,,,,,,,,,,,,,,3.0,0.343603582,0.3136052,0.6080031,0.451278381,5289.0,1040.0,0.164322958,6329.0,4861.0,1468.0,0.231948175,4729.0,1600.0,0.25280455,0.578606415,0.477326592,326347666.3
Moderate,446,122,2609,legionella_pneumophila,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,Water,Host,Motile,No,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,4.0,0.183794633,0.1911076,0.8762882,0.5710291,4200.0,1718.0,0.290300777,5918.0,3456.0,2462.0,0.416018925,3323.0,2595.0,0.438492734,0.449983102,0.389489692,288459040.1
Moderate,1245,385,3732,leuconostoc_mesenteroides,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Plant,Milk Gut,Both,Extracellular,Both,Both,Plant,Milk Gut,Host,Non-motile,No,1.0,1.0,,,,,,,,,,,,,,,,,2.0,0.246749344,0.2255205,0.7105795,0.624656471,1819.0,1167.0,0.390823845,2986.0,1565.0,1421.0,0.475887475,1405.0,1581.0,0.529470864,0.329202947,0.239115874,248939893.3
Moderate,1639,27,13100,listeria_monocytogenes,Listeriaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Class,Mammalia,Broad,Cell,Gut,Inside,Both,Both,Both,Soil,Cell Water,Free,Motile,No,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,6.0,0.136584912,0.1382832,0.7061691,0.598653024,3505.0,1744.0,0.332253763,5249.0,2676.0,2573.0,0.490188607,2645.0,2604.0,0.496094494,0.410554391,0.342922461,380500263.5
Closed,75985,85,6254,mannheimia_haemolytica,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Negative,Host,Obligate,Family,Bovidae,Narrow,Respiratory,,Inside,Both,Animal,Both,Respiratory,Lung,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.118739544,0.1734543,1.396381,0.703621847,1174.0,1770.0,0.601222826,2944.0,954.0,1990.0,0.675951087,697.0,2247.0,0.763247283,0.114130435,0.071331522,
Moderate,1764,92,1038,mycobacterium_avium,Mycobacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Both,Facultative,Phylum,Chordata,Broad,Respiratory,Cell,Inside,Both,Animal,Pathogen,Respiratory,Cell Water,Host,Non-motile,No,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,4.0,0.148213331,0.1835618,0.7601858,0.713848047,3540.0,3177.0,0.472979008,6717.0,2846.0,3871.0,0.576298943,2730.0,3987.0,0.593568557,0.296709841,0.25889534,
Moderate,1773,99,6517,mycobacterium_tuberculosis,Mycobacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Obligate,Species,Homo sapiens,Narrow,Cell,Respiratory,Inside,Both,Animal,Pathogen,Cell,Respiratory,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.029638602,0.04051428,0.7107622,0.633882722,1747.0,2581.0,0.596349353,4328.0,378.0,3950.0,0.912661738,324.0,4004.0,0.925138632,0.042744917,0.035120148,
Moderate,36809,66,7608,mycobacteroides_abscessus,Mycobacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Both,Facultative,Phylum,Chordata,Broad,Skin,Cell,Both,Both,Animal,Pathogen,Soil,Water Skin,Free,Non-motile,No,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,6.0,0.197994412,0.2002694,0.4754707,0.742787362,5756.0,3644.0,0.387659574,9400.0,5251.0,4149.0,0.441382979,5201.0,4199.0,0.446702128,0.414361702,0.307340426,396539114.6
Open,2102,28,11013,mycoplasma_mycoides,Metamycoplasmataceae,Mycoplasmoidales,Mollicutes,Tenericutes,Negative,Host,Obligate,Family,Bovidae,Narrow,Cell,Respiratory,Inside,Both,Animal,Pathogen,Cell,Respiratory,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.291637883,0.3064979,0.8241013,0.56410209,802.0,509.0,0.388253242,1311.0,733.0,578.0,0.440884821,721.0,590.0,0.450038139,0.151029748,0.138825324,
Closed,485,27,8054,neisseria_gonorrhoeae,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Urogenital,Cell,Inside,Both,Animal,Pathogen,Urogenital,Cell,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.118854946,0.1003442,1.344833,0.702979496,1102.0,1512.0,0.578423871,2614.0,767.0,1847.0,0.706579954,618.0,1996.0,0.763580719,0.112471308,0.076128539,256751776.3
Moderate,487,180,4130,neisseria_meningitidis,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Pharynx,Cell,Inside,Both,Animal,Both,Pharynx,Cell,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.16636821,0.1643891,1.055435,0.538404695,2387.0,1140.0,0.323220868,3527.0,1833.0,1694.0,0.480294868,1726.0,1801.0,0.510632265,0.353274738,0.293450525,310729930.0
Moderate,1406,25,1363,paenibacillus_polymyxa,Paenibacillaceae,Caryophanales,Bacilli,Firmicutes,Neither,Both,Facultative,Kingdom,Plantae,Broad,Rhizosphere,Root,Both,Both,Plant,Mutualist,Rhizosphere,Soil Root,Host,Motile,Yes,1.0,,1.0,,,,,,,,,,,,,,,,2.0,0.28906311,0.2525746,0.6583085,0.657700217,5774.0,3230.0,0.358729454,9004.0,5243.0,3761.0,0.417703243,5080.0,3924.0,0.435806308,0.383385162,0.309751222,357699542.4
Moderate,747,35,11533,pasteurella_multocida,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Phylum,Chordata,Broad,Respiratory,Gentalia,Inside,Extracellular,Animal,Both,Respiratory,Genital tract,Host,Motile,No,,1.0,,,,,,1.0,,1.0,,,,,,,,,3.0,0.18074983,0.1845172,0.7294458,0.311403752,3874.0,650.0,0.143678161,4524.0,2728.0,1796.0,0.396993811,2654.0,1870.0,0.413351017,0.502431477,0.443854996,323770895.8
Moderate,221822,24,3422,phaeobacter_inhibens,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Cell,Surface,Both,Both,Other,Both,Water,Cell,Free,Motile,No,,,,,1.0,,,,,,,1.0,,,,1.0,,,3.0,0.187446902,0.1568382,0.4972768,0.78436757,3960.0,3120.0,0.440677966,7080.0,3713.0,3367.0,0.475564972,3617.0,3463.0,0.489124294,0.403531073,0.290254237,
Moderate,1238,85,15976,piscirickettsia_salmonis,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Family,Salmonidae,Narrow,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,No,,,,,,1.0,,,,,,,,,,,,,1.0,0.181088585,0.1951491,1.065553,0.591299672,1809.0,1609.0,0.470743125,3418.0,1392.0,2026.0,0.592744295,1249.0,2169.0,0.634581627,0.088355764,0.045640726,
Moderate,837,22,6001,porphyromonas_gingivalis,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Negative,Host,Unknown,Species,Homo sapiens,Narrow,Gum,Respiratory,Inside,Both,Animal,Both,Gum,Respiratory,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.217146097,0.2076733,0.7151692,0.724418174,1808.0,1389.0,0.434469815,3197.0,1700.0,1497.0,0.468251486,1613.0,1584.0,0.495464498,0.368157648,0.258992806,244000456.4
Open,28131,6,4501,prevotella_intermedia,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Negative,Host,Unknown,Species,Homo sapiens,Narrow,Gum,Skin Genitalia,Both,Both,Animal,Both,Gum,Skin Genitalia,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.275476636,0.2703124,0.6840361,0.669349699,2550.0,1523.0,0.373925853,4073.0,2437.0,1636.0,0.401669531,2381.0,1692.0,0.41541861,0.340289713,0.24674687,
Open,1219,7,1425,prochlorococcus_marinus,Prochloraceae,Synechococcales,Cyanophyceae,Cyanobacteria,Negative,Free,,,,,,,,,,,Water,,Free,Non-motile,No,,,,,1.0,,,,,,,,,,,,,,1.0,0.364706198,0.3869767,0.7239661,0.426712771,3505.0,770.0,0.180116959,4275.0,3010.0,1265.0,0.295906433,2886.0,1389.0,0.324912281,0.558128655,0.474385965,
Moderate,1744,31,18404,propionibacterium_freudenreichii,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Positive,Both,Facultative,Domain,Eukaryota,Broad,Milk,Gut Leaf,Both,Extracellular,Both,Mutualist,Soil,Plant Milk,Free,Non-motile,No,1.0,1.0,1.0,,,,,,,,,,,,,,,,3.0,0.16804254,0.1572128,0.8327978,0.753260458,1516.0,1638.0,0.51934052,3154.0,1373.0,1781.0,0.564679772,1240.0,1914.0,0.606848446,0.269499049,0.130310717,341177621.8
Moderate,584,14,2679,proteus_mirabilis,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Urine,Both,Extracellular,Both,Both,Gut,Soil Water Plant,Host,Motile,No,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,11.0,0.214906683,0.1994702,0.6945445,0.697156102,3863.0,2500.0,0.392896433,6363.0,3425.0,2938.0,0.461731887,3319.0,3044.0,0.478390696,0.38991042,0.299387082,342274831.5
Moderate,287,289,31247,pseudomonas_aeruginosa,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Skin Respiratory Plant,Both,Extracellular,Both,Both,Soil,Gut Water Plant,Free,Motile,No,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,5.0,0.180995127,0.1669838,0.53591,0.395598878,16327.0,2453.0,0.130617678,18780.0,13398.0,5382.0,0.28658147,13340.0,5440.0,0.289669862,0.655910543,0.612939297,404884664.5
Open,294,185,10688,pseudomonas_fluorescens,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Rhizosphere,Leaf,Outside,Extracellular,Plant,Both,Rhizosphere,Soil Plant Gut,Host,Motile,No,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,5.0,0.414690075,0.4398876,0.4122156,0.508560667,13820.0,2815.0,0.169221521,16635.0,13459.0,3176.0,0.190922753,13103.0,3532.0,0.212323414,0.598557259,0.413044785,391307176.6
Open,303,48,16823,pseudomonas_putida,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Kingdom,Plantae,Broad,Rhizosphere,,Outside,Extracellular,Plant,Both,Soil,Rhizosphere,Free,Motile,No,1.0,1.0,1.0,,,,,,,,,,,,,,,,3.0,0.38074308,0.3843119,0.3848933,0.473543854,17120.0,2514.0,0.12804319,19634.0,16251.0,3383.0,0.172303148,15881.0,3753.0,0.191148009,0.712437608,0.613629418,415028160.8
Open,251701,168,19579,pseudomonas_syringae,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Kingdom,Plantae,Broad,Plant,Leaf Phyllosphere,Both,Extracellular,Plant,Pathogen,Plant,Leaf ,Host,Motile,No,1.0,,1.0,1.0,,,,,,,,,,,,,,,3.0,0.283308689,0.3486544,0.6616497,0.586142596,8642.0,3173.0,0.268556919,11815.0,8011.0,3804.0,0.321963606,7829.0,3986.0,0.337367753,0.473719848,0.383834109,426272474.1
Open,317,30,12655,pseudomonas_syringae,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Kingdom,Plantae,Broad,Plant,Leaf Phyllosphere,Both,Extracellular,Plant,Pathogen,Plant,Leaf ,Host,Motile,No,1.0,,1.0,1.0,,,,,,,,,,,,,,,3.0,0.283308689,0.2773029,0.4303694,0.586142596,8642.0,3173.0,0.268556919,11815.0,8011.0,3804.0,0.321963606,7829.0,3986.0,0.337367753,0.473719848,0.383834109,426272474.1
Open,305,13,2752,ralstonia_solanacearum,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Both,Facultative,Phylum,Tracheophytes,Broad,Xylem,Root Stem,Both,Extracellular,Plant,Pathogen,Xylem,Plant Stem,Host,Non-motile,No,1.0,,1.0,1.0,,,,,,,,,,,,,,,3.0,0.250322881,0.2767534,0.7437823,0.532659034,6666.0,2532.0,0.275277234,9198.0,5778.0,3420.0,0.371819961,5501.0,3697.0,0.401935203,0.412589693,0.319852142,
Open,384,34,8411,rhizobium_leguminosarum,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Negative,Both,Facultative,Family,Fabaceae,Narrow,Root_nodule,Rhizosphere,Inside,Intracellular,Plant,Mutualist,Root_nodule,Soil Rhizosphere,Host,Motile,No,1.0,,1.0,,,,,,,,,,,,,,,,2.0,0.374736678,0.3584842,0.6015809,0.579337884,11166.0,3962.0,0.261898466,15128.0,10633.0,4495.0,0.297131148,10225.0,4903.0,0.324101005,0.491010048,0.403490217,
Moderate,396,28,3331,rhizobium_phaseoli,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Negative,Both,Facultative,Family,Fabaceae,Narrow,Root_nodule,Rhizosphere,Inside,Intracellular,Plant,Mutualist,Root_nodule,Soil Rhizosphere,Host,Motile,No,1.0,,1.0,,,,,,,,,,,,,,,,2.0,0.17532431,0.178088,0.726306,0.750434013,4366.0,4656.0,0.516071824,9022.0,3848.0,5174.0,0.573487032,3625.0,5397.0,0.598204389,0.241742407,0.142983817,
Closed,35790,100,3127,rickettsia_japonica,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Negative,Host,Obligate,Kingdom,Animalia,Broad,Cell,Blood,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,No,,1.0,,,,,,,1.0,,,,,,,,,,2.0,0.022897186,0.0110316,1.404389,0.948891884,102.0,1152.0,0.918660287,1254.0,85.0,1169.0,0.932216906,37.0,1217.0,0.970494418,0.027910686,0.002392344,
Closed,782,24,7972,rickettsia_prowazekii,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Negative,Host,Obligate,Kingdom,Animalia,Broad,Cell,Blood,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,No,,1.0,,,,,,,1.0,,,,,,,,,,2.0,0.036002542,0.03186077,2.0,0.875301845,132.0,750.0,0.850340136,882.0,36.0,846.0,0.959183673,16.0,866.0,0.98185941,0.011337868,0.010204082,
Closed,783,177,4592,rickettsia_rickettsii,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Negative,Host,Obligate,Kingdom,Animalia,Broad,Cell,Blood,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,No,,2.0,,,,,,,,,,,,,,,,,2.0,0.03682578,0.0508029,1.324114,0.922334361,184.0,1159.0,0.862993299,1343.0,125.0,1218.0,0.906924795,100.0,1243.0,0.925539836,0.04988831,0.048399106,
Moderate,34085,77,6146,riemerella_anatipestifer,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Negative,Host,Unknown,Class,Aves,Broad,Blood,Respiratory,Inside,Both,Animal,Pathogen,Blood,Respiratory,Host,Non-motile,No,,,,,,,,1.0,,,,,,,,,,,1.0,0.201135855,0.2411866,1.039798,0.683263433,1358.0,1343.0,0.497223251,2701.0,1116.0,1585.0,0.586819696,1022.0,1679.0,0.621621622,0.199185487,0.123287671,
Moderate,28901,11,3879,salmonella_enterica,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Phylum,Chordata,Broad,Gut,Blood Lymphatic,Inside,Both,Animal,Pathogen,Gut,Blood,Host,Motile,No,,1.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,,6.0,0.221767824,0.2382758,0.4532275,0.210404106,22270.0,965.0,0.041532171,23235.0,19660.0,3575.0,0.153862707,19486.0,3749.0,0.16135141,0.784161825,0.757477943,403136089.3
Moderate,615,19,2008,serratia_marcescens,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Blood Plant,Both,Intracellular,Both,Pathogen,Soil,Water Gut,Free,Motile,No,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,6.0,0.217853552,0.2461836,0.5601593,0.7258252,7423.0,3478.0,0.319053298,10901.0,7036.0,3865.0,0.354554628,6917.0,3984.0,0.365471058,0.524722503,0.473259334,386569627.6
Moderate,382,82,5648,sinorhizobium_meliloti,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Negative,Both,Facultative,Family,Fabaceae,Narrow,Root_nodule,Rhizosphere,Inside,Intracellular,Plant,Mutualist,Root_nodule,Soil Rhizosphere,Host,Motile,No,1.0,,1.0,,,,,,,,,,,,,,,,2.0,0.226151995,0.2147136,0.5998863,0.625855139,8381.0,3965.0,0.32115665,12346.0,7294.0,5052.0,0.409201361,7042.0,5304.0,0.42961283,0.447513365,0.384335007,
Moderate,1280,38,9819,staphylococcus_aureus,Staphylococcaceae,Caryophanales,Bacilli,Firmicutes,Positive,Host,Facultative,Order,Primates,Broad,Nose,Skin,Both,Extracellular,Animal,Both,Nose,Skin,Host,Non-motile,No,,1.0,,,,,,1.0,,,,,,,,,,,2.0,0.170897129,0.1635067,0.6606939,0.353261035,4752.0,969.0,0.169375983,5721.0,3459.0,2262.0,0.395385422,3374.0,2347.0,0.410242965,0.477888481,0.415486803,389354558.5
Moderate,1282,44,8438,staphylococcus_epidermidis,Staphylococcaceae,Caryophanales,Bacilli,Firmicutes,Positive,Host,Facultative,Species,Homo sapiens,Narrow,Skin,,Outside,Extracellular,Animal,Both,Skin,,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.186836104,0.1717396,0.7122353,0.789242078,1932.0,1872.0,0.492113565,3804.0,1809.0,1995.0,0.52444795,1755.0,2049.0,0.538643533,0.294952681,0.230546793,325088299.5
Open,40324,4,9075,stenotrophomonas_maltophilia,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Rhizosphere,Gut,Both,Extracellular,Both,Both,Soil,Rhizosphere,Free,Motile,No,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,8.0,0.272696522,0.259278,0.5671567,0.645786902,6894.0,2713.0,0.282398251,9607.0,6366.0,3241.0,0.337358176,6201.0,3406.0,0.354533153,0.54543562,0.45591756,398902172.8
Moderate,1311,107,5062,streptococcus_agalactiae,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Host,Facultative,Phylum,Chordata,Broad,Gut,Genitalia Milk,Both,Extracellular,Animal,Both,Gut,Genitalia Milk,Host,Non-motile,No,,1.0,,,,1.0,,,,,,,,,,,,,2.0,0.200765986,0.2164189,0.7866007,0.588215316,3056.0,1192.0,0.280602637,4248.0,2625.0,1623.0,0.382062147,2549.0,1699.0,0.399952919,0.484227872,0.418785311,281578035.6
Moderate,1313,69,8669,streptococcus_pneumoniae,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Host,Facultative,Species,Homo sapiens,Narrow,Nasopharynx,Respiratory,Inside,Extracellular,Animal,Both,Nasopharynx,Respiratory,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.199609589,0.1916171,0.8313449,0.565777705,2460.0,1122.0,0.313232831,3582.0,1987.0,1595.0,0.445281965,1894.0,1688.0,0.471245114,0.381909548,0.301786711,307103311.2
Moderate,1314,86,17215,streptococcus_pyogenes,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Host,Facultative,Species,Homo sapiens,Narrow,Throat,Skin,Both,Extracellular,Animal,Both,Throat,Skin,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.188681025,0.1837705,0.8244828,0.549829651,2497.0,954.0,0.276441611,3451.0,2020.0,1431.0,0.414662417,1978.0,1473.0,0.426832802,0.440452043,0.373804694,288954081.8
Open,1307,126,3927,streptococcus_suis,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Host,Facultative,Class,Mammalia,Broad,Respiratory,Gut Genitalia,Both,Extracellular,Animal,Both,Respiratory,Gut Genitalia,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.283650119,0.3452268,0.4769319,0.473275958,4153.0,933.0,0.18344475,5086.0,3684.0,1402.0,0.275658671,3550.0,1536.0,0.302005505,0.562917814,0.460676366,317165602.5
Moderate,1308,85,9256,streptococcus_thermophilus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Unknown,Unknown,,,,,,,,,,Milk Industry,,Unknown,Non-motile,No,,,,,,,,,,,,,,,,,,,0.0,0.197275898,0.2021562,0.7362456,0.630963805,1598.0,1041.0,0.394467601,2639.0,1355.0,1284.0,0.486547935,1248.0,1391.0,0.527093596,0.318302387,0.236832133,
Moderate,663,123,25810,vibrio_alginolyticus,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Phylum,Chordata,Broad,Gut,Soft_tissue,Both,Extracellular,Animal,Both,Marine,Gut Soft_tissue,Free,Motile,No,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,5.0,0.257933631,0.1930587,0.4689675,0.274708709,8569.0,1277.0,0.129697339,9846.0,5897.0,3949.0,0.401076579,5749.0,4097.0,0.416108064,0.47664026,0.447186675,152164063.4
Moderate,55601,67,3622,vibrio_anguillarum,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Kingdom,Animalia,Broad,Gut,Skin,Both,Extracellular,Animal,Both,Marine,Gut Skin,Free,Motile,No,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,5.0,0.250557334,0.2434123,0.6623829,0.555038504,4074.0,1982.0,0.327278732,6056.0,3337.0,2719.0,0.448976222,3119.0,2937.0,0.48497358,0.357166446,0.278401585,
Moderate,666,55,10329,vibrio_cholerae,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Kingdom,Animalia,Broad,Shell,Gut Soft_tissue,Both,Extracellular,Animal,Pathogen,Marine,Shell Gut Soft_tissue,Free,Motile,No,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,10.0,0.124137576,0.2012799,0.4869158,0.668657487,3982.0,2452.0,0.381100404,6434.0,3287.0,3147.0,0.489120298,3105.0,3329.0,0.517407523,0.420733603,0.392601803,335798106.8
Moderate,670,57,7906,vibrio_parahaemolyticus,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Kingdom,Animalia,Broad,Soft_tissue,Shell Gut,Both,Extracellular,Animal,Both,Marine,Soft_tissue Shell Gut,Free,Motile,No,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,7.0,0.204279691,0.171198,0.4064853,0.729192382,6708.0,3479.0,0.341513694,10187.0,6181.0,4006.0,0.393246294,6063.0,4124.0,0.404829685,0.520369098,0.421615785,326599183.5
Moderate,672,335,3069,vibrio_vulnificus,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Kingdom,Animalia,Broad,Soft_tissue,Gut Shell Wound,Both,Extracellular,Animal,Both,Marine,Soft_tissue Gut Shell,Free,Motile,No,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,6.0,0.238434216,0.2259983,0.4917334,0.747975038,5693.0,3363.0,0.371356007,9056.0,5433.0,3623.0,0.400066254,5322.0,3734.0,0.412323322,0.501435512,0.272968198,373027769.2
